career_id,career_name,core_skills,interests,personality_fit,description
57,Lawyer (Litigation),Case Research;Client Management;Drafting;Law;Public Speaking;Marketing;Problem Solving;Rehabilitation,Law;Advocacy;Strategy;Creativity,ENFP;ISTJ;ESTJ,"Argue cases, draft petitions, and advise clients."
58,Corporate Lawyer,Company Law;Compliance;Contracts;Drafting;Negotiation;Writing,Law;Business;Strategy;Compliance;Sales,ENTJ;ISTJ,Draft/negotiates contracts and handle corporate compliance.
59,Legal Analyst,Case Research;Compliance;Contracts;Excel;Policy;Critical Thinking,Law;Research;Writing;Teaching,ISTJ;INTP;INTJ;ENTP,Research legal issues and support attorneys.
60,Paralegal,Client Communication;Documentation;Drafting;Filing;Research;Hospitality;Policy;Problem Solving,Law;Support;Detail;Teaching;Strategy,ISTJ;ESTJ;ISFJ;ESFJ,Support lawyers with documentation and prep.
61,Policy Analyst,Presentation;Research;Stakeholder Analysis;Statistics;Writing;Photography,Policy;Research;Public;Leadership,ENTP;INTP;INTJ;ISTJ,Evaluate policy options and impacts.
62,Political Campaign Manager,Communication;Data;Field Operations;Leadership;Strategy;Econometrics;Public Speaking;Research,Politics;Campaign;Public;Leadership;Sales,INTP;ISTJ,Plan and run political campaigns.
63,Civil Services Officer,Administration;Law;Management;Negotiation;Policy;Documentation;Logistics,Governance;Public;Leadership;Field,ISTJ;ESFJ;INTP;ENFP,Implement policies and manage public programs.
64,Diplomat/Foreign Service,International Relations;Languages;Negotiation;Protocol;Writing;Logistics,Policy;International;Public;Research,ENFP;INTP,Represent the country and negotiate agreements.
65,Journalist,Fact-Checking;Interviewing;Multimedia;Reporting;Writing;Data Analysis;Documentation;Logistics,Media;Storytelling;Public;Leadership;Operations,ENFP;ESTJ,Report news and produce stories.
66,Video Editor,After Effects;Color Grading;Editing;Premiere Pro;Storytelling;Statistics,Media;Creativity;Post-Production;Field,ENFP;ESFJ,Edit video content and craft narratives.
67,Photographer,Client Communication;Composition;Lighting;Photography;Portfolio;Digital Marketing;Foreign Language;Marketing,Media;Creativity;Art;Compliance;Operations,ISFP;INFP,Shoot and edit photos for clients or media.
68,Music Producer,Arrangement;Collaboration;DAW;Mixing;Sound Design;Digital Marketing;ERP;PowerPoint,Music;Creativity;Production;Research;Strategy,ISFP;INTP,Produce and polish music tracks.
69,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;CRM;Marketing,Education;Teaching;Mentorship;Leadership;Strategy,ISTJ;ENFJ,Teach and mentor students at school level.
70,Professor/Lecturer,Curriculum;Grant Writing;Mentoring;Publications;Research;CRM;Excel,Education;Research;Teaching;Sales,ESFJ;ENTP,Teach in college and publish research.
71,Instructional Designer,Assessment;Authoring Tools;Pedagogy;Storyboarding;UX;Communication;Policy,Education;Design;Learning;Leadership,ISFJ;INTP,Design e-learning materials and curricula.
72,Sales Manager,CRM;Negotiation;Pipeline;Presentation;Targets;Logistics;Problem Solving,Sales;Business;Leadership,ENTP;ENFJ;ESTJ,Lead sales teams and manage revenue targets.
73,Business Development Executive,Cold Outreach;Follow-ups;Negotiation;Pitching;Prospecting;ERP;Excel;Statistics,Sales;Growth;Client;Service,ESTJ;ENTP;ENFP,Acquire new clients and partnerships.
74,HR Generalist,Compliance;Excel;Payroll;Policies;Recruitment;Leadership,HR;People;Operations;Sales;Creativity,ENFJ;ISTJ,Handle HR ops and employee lifecycle.
75,Recruiter/Talent Acquisition,Coordination;Interviewing;JD Writing;Negotiation;Sourcing;First Aid;Supply Chain,HR;Hiring;Communication;Teaching,ESFJ;ENTP;ISTJ,Find and evaluate candidates for roles.
76,Operations Manager,Budgeting;KPIs;Leadership;Quality;Scheduling;Risk Management,Operations;Management;Scaling,ENFP;ISTJ,Run day-to-day operations and improve efficiency.
77,Supply Chain Manager,Demand Planning;Inventory;Logistics;Procurement;SAP;Finance;Research,Supply Chain;Logistics;Vendors;Creativity,INTP;ESTJ;ISTJ,Manage end-to-end supply chain.
78,Logistics Coordinator,Documentation;Excel;Routing;Tracking;Transportation;Project Management,Logistics;Operations;Vendors;Service,ENFP;ESTJ;ISFJ;ENTP,Coordinate shipments and warehousing.
79,Procurement Specialist,Contracts;Costing;Negotiation;SAP;Vendor Management;Clinical Diagnosis,Procurement;Vendors;Cost;Service;Leadership,ESFJ;ENTJ;ISTJ,Source goods/services and negotiate deals.
80,Hotel Manager,Front Office;Guest Experience;Housekeeping;Operations;Revenue;Customer Service,Hospitality;Service;Operations;Field,ENTP;ENFJ;INTP;ESFJ,Manage hotel departments and guest satisfaction.
81,Chef,Cooking;Creativity;Inventory;Menu Planning;Teamwork;Statistics,Food;Creativity;Operations;Teaching,ESFJ;ISTJ,Prepare dishes and manage kitchen operations.
82,Event Planner,Budgeting;Coordination;Creativity;Logistics;Negotiation;Policy,Events;Creativity;Ops;Strategy;Sales,ESFJ;ENFP,Plan and execute events.
83,Travel Consultant,Bookings;Customer Service;Geography;Itineraries;Sales;Budgeting,Travel;Service;Sales;Creativity,ESFJ;INTP;ISTJ,Design travel plans and handle bookings.
84,Architect,3D Modeling;Building Codes;CAD;Design;Project Management;Graphic Design;Statistics;Teamwork,Architecture;Design;Construction;Teaching;Operations,ESFJ;ENTP,Design buildings and manage projects.
85,Civil Engineer,AutoCAD;Contracts;Estimation;QA/QC;Structures;ERP;Logistics,Construction;Infrastructure;Project;Research,ISTJ;INTP,Plan and oversee civil works.
86,Environmental Scientist,Field Work;GIS;Policy;Reporting;Sampling;Documentation;First Aid;Statistics,Environment;Research;Sustainability;Compliance,ENFP;INTJ,Study environmental impacts and mitigation.
87,Agronomist,Crop Management;Extension;Field Trials;Irrigation;Pest Control;Critical Thinking,Agriculture;Field;Research;Service,ESTJ;ISTJ,Optimize crop production and advise farmers.
88,Social Worker,Casework;Coordination;Counseling;Documentation;Empathy;Clinical Diagnosis;Pharmacology;Policy,NGO;Community;Service;Research,ISTJ;ESFJ;ENFP,Support individuals and communities.
89,NGO Program Manager,Budgeting;Coordination;Grant Writing;Monitoring & Evaluation;Program Design;Logistics;Research;Supply Chain,NGO;Projects;Public;Sales;Compliance,INTP;ISTJ,Manage social programs and partnerships.
90,Sports Coach,Assessment;Coaching;Communication;Fitness;Motivation;Risk Management;Teamwork,Sports;Training;Mentorship;Leadership,ESTJ;ESFJ,Train athletes and plan sessions.
91,Pilot,Aviation;Communication;Instrumentation;Navigation;Safety;Leadership;Problem Solving;Public Speaking,Aviation;Safety;Precision;Service,INTP;ENTP,Operate aircraft safely and efficiently.
92,Merchant Navy Officer,Engine Ops;Navigation;Safety;Teamwork;Watchkeeping;Customer Service,Maritime;Operations;Safety;Compliance,ESTJ;INTP,Operate ships and manage onboard operations.
93,Investment Analyst,Accounting;Excel;Financial Modeling;Presentation;Research;Writing,Markets;Analysis;Strategy,ENTP;ESFJ,"Analyze companies, build models, and recommend investments."
94,Accountant,Accounting;Auditing;Compliance;Reporting;Taxation;Drafting;Marketing;Risk Management,Compliance;Reporting;Detail;Research,ISTJ;ESFJ;ESTJ;ENFP,"Prepare financial statements, manage taxes and compliance."
95,Financial Planner,Advisory;Communication;Risk Management;Sales;Wealth Management,Client;Planning;Finance;Operations,ENFJ;ENTP;ISTJ;INTP,"Advise clients on investments, insurance, and goals."
96,Risk Analyst,Compliance;Excel;Governance;Reporting;SQL;CRM,Risk;Governance;Data;Service,ENTP;ISTJ,Quantify and manage financial/operational risks.
97,Economist,Econometrics;R;Research;Stata;Writing;Documentation;First Aid,Research;Policy;Data;Leadership,INTP;ESFJ,Study economic trends and evaluate policies.
98,Doctor (General Practitioner),Anatomy;Clinical Diagnosis;Communication;Documentation;Pharmacology;Policy;Video Editing,Healthcare;People;Service,INTP;ENFJ;INFJ,Diagnose and treat common illnesses; coordinate care.
99,Surgeon,Anatomy;Decision Making;Documentation;Surgery;Teamwork;Clinical Diagnosis,Healthcare;Precision;Emergency;Research,ENTP;INTJ;INTP,Perform surgical procedures and manage perioperative care.
100,Nurse,Documentation;Empathy;Medication;Teamwork;Vitals;Design Thinking;Foreign Language;Logistics,Care;Healthcare;Service;Operations,ISFJ;ESTJ,Provide nursing care and coordinate with healthcare teams.
101,Pharmacist,Counseling;Documentation;Inventory;Pharmacology;Regulations;Negotiation,Healthcare;Compliance;Service;Leadership,ESTJ;ENFP;ISFJ;INTP,Dispense medications and advise on safe usage.
102,Physiotherapist,Anatomy;Assessment;Counseling;Exercise Therapy;Rehabilitation;Policy,Care;Movement;Health;Compliance,ESTJ;ISFJ;ENFP;ISTJ,Help patients recover mobility and function.
103,Lawyer (Litigation),Case Research;Client Management;Drafting;Law;Negotiation;Documentation,Law;Advocacy;Strategy;Research,ENTJ;ENFJ,"Argue cases, draft petitions, and advise clients."
104,Corporate Lawyer,Company Law;Compliance;Contracts;Drafting;M&A;Design Thinking;Finance;Law,Law;Business;Strategy;Creativity,INTJ;ISTJ;INTP;ENTJ,Draft/negotiates contracts and handle corporate compliance.
105,Legal Analyst,Compliance;Contracts;Excel;Policy;Writing;Digital Marketing,Law;Research;Writing;Sales;Service,ESTJ;INTP;ENFP,Research legal issues and support attorneys.
106,Paralegal,Client Communication;Documentation;Drafting;Filing;Scheduling;Policy;PowerPoint;Statistics,Law;Support;Detail;Sales,ESFJ;ISFJ,Support lawyers with documentation and prep.
107,Policy Analyst,Policy;Presentation;Stakeholder Analysis;Statistics;Writing;Critical Thinking;Event Management,Policy;Research;Public;Leadership,INTJ;INTP,Evaluate policy options and impacts.
108,Political Campaign Manager,Budgeting;Data;Field Operations;Leadership;Strategy;CAD,Politics;Campaign;Public;Strategy,ENFP;ESTJ,Plan and run political campaigns.
109,Civil Services Officer,Administration;Law;Management;Negotiation;Policy;Clinical Diagnosis;Procurement,Governance;Public;Leadership;Operations,ENFP;ENTP,Implement policies and manage public programs.
110,Diplomat/Foreign Service,Analysis;International Relations;Languages;Negotiation;Writing;Finance;Law,Policy;International;Public;Field,ESTJ;INTP;ISTJ,Represent the country and negotiate agreements.
111,Journalist,Editing;Fact-Checking;Interviewing;Reporting;Writing;Design Thinking;Time Management,Media;Storytelling;Public;Compliance;Leadership,ENFP;ENTP;INFJ,Report news and produce stories.
112,Video Editor,After Effects;Color Grading;Editing;Premiere Pro;Storytelling;ERP;Negotiation,Media;Creativity;Post-Production;Field,INFP;INTP;ESFJ,Edit video content and craft narratives.
113,Photographer,Client Communication;Composition;Editing;Lighting;Portfolio;Creativity;Law;PowerPoint,Media;Creativity;Art;Compliance,INFP;ESTJ,Shoot and edit photos for clients or media.
114,Music Producer,Arrangement;DAW;Mastering;Mixing;Sound Design;Statistics;Time Management,Music;Creativity;Production;Strategy,ISFP;ESFJ;INFP;ENFP,Produce and polish music tracks.
115,Teacher (School),Assessment;Classroom Management;Communication;Lesson Planning;Subject Knowledge;Documentation;Problem Solving;Supply Chain,Education;Teaching;Mentorship;Field,ESFJ;ISFJ;ISTJ;ENFP,Teach and mentor students at school level.
116,Professor/Lecturer,Grant Writing;Mentoring;Publications;Research;Teaching;Event Management;Finance,Education;Research;Teaching;Operations,INTP;ENFP;ENTP,Teach in college and publish research.
117,Instructional Designer,Assessment;Authoring Tools;Pedagogy;Storyboarding;UX;Critical Thinking;Foreign Language;Research,Education;Design;Learning;Sales;Teaching,ENFJ;ENFP;ESTJ,Design e-learning materials and curricula.
118,Sales Manager,CRM;Negotiation;Pipeline;Presentation;Sales Strategy;Digital Marketing,Sales;Business;Leadership;Operations,ENTP;ISTJ;ENFJ,Lead sales teams and manage revenue targets.
119,Business Development Executive,CRM;Cold Outreach;Follow-ups;Negotiation;Prospecting;Supply Chain;Writing,Sales;Growth;Client;Strategy,ENFP;ENTP;ESTJ,Acquire new clients and partnerships.
120,HR Generalist,Compliance;Employee Relations;Payroll;Policies;Recruitment;CRM,HR;People;Operations;Strategy,ISTJ;ENFP;ESFJ;ESTJ,Handle HR ops and employee lifecycle.
121,Recruiter/Talent Acquisition,ATS;Coordination;Interviewing;JD Writing;Sourcing;Budgeting;Project Management;Supply Chain,HR;Hiring;Communication;Research;Creativity,ENFP;ISTJ;ESFJ,Find and evaluate candidates for roles.
122,Operations Manager,Budgeting;KPIs;Leadership;Quality;Scheduling;First Aid;Public Speaking,Operations;Management;Scaling;Teaching,ESFJ;ESTJ;ENFP;ISTJ,Run day-to-day operations and improve efficiency.
123,Supply Chain Manager,Demand Planning;Excel;Inventory;Logistics;SAP;Hospitality,Supply Chain;Logistics;Vendors;Teaching,ISTJ;INTP;ENTP,Manage end-to-end supply chain.
124,Logistics Coordinator,Documentation;Routing;Tracking;Transportation;Warehouse;CRM;Counseling;Econometrics,Logistics;Operations;Vendors;Service,ESTJ;ESFJ,Coordinate shipments and warehousing.
125,Procurement Specialist,Compliance;Contracts;Costing;Negotiation;Vendor Management;Statistics,Procurement;Vendors;Cost;Creativity,ISTJ;ESFJ;ENTP,Source goods/services and negotiate deals.
126,Hotel Manager,Budgeting;Front Office;Guest Experience;Housekeeping;Revenue;Documentation;Statistics;Supply Chain,Hospitality;Service;Operations,ENFJ;ENFP,Manage hotel departments and guest satisfaction.
127,Chef,Cooking;Creativity;Inventory;Menu Planning;Teamwork;Clinical Diagnosis;Econometrics;Supply Chain,Food;Creativity;Operations;Teaching,ESFJ;ENFP,Prepare dishes and manage kitchen operations.
128,Event Planner,Budgeting;Coordination;Creativity;Logistics;Vendor Management;Communication;Foreign Language,Events;Creativity;Ops;Field;Service,ENTP;ESFJ;ENFP;ISTJ,Plan and execute events.
129,Travel Consultant,Bookings;Customer Service;GDS;Itineraries;Sales;Policy,Travel;Service;Sales;Leadership;Creativity,ESFJ;ENTP;INTP,Design travel plans and handle bookings.
130,Architect,3D Modeling;Building Codes;Design;Presentation;Project Management;Leadership,Architecture;Design;Construction;Research;Creativity,ISFP;ENFP;INFJ;INTP,Design buildings and manage projects.
131,Civil Engineer,AutoCAD;Estimation;QA/QC;Site Management;Structures;Event Management;Photography;Teamwork,Construction;Infrastructure;Project;Service;Compliance,ENFP;ESTJ;ESFJ,Plan and oversee civil works.
132,Environmental Scientist,Data Analysis;Field Work;GIS;Policy;Sampling;Problem Solving,Environment;Research;Sustainability;Compliance;Teaching,INTP;ESTJ,Study environmental impacts and mitigation.
133,Agronomist,Crop Management;Extension;Field Trials;Pest Control;Soil Science;CRM;Communication;Photography,Agriculture;Field;Research,INTP;ENTP;ISTJ,Optimize crop production and advise farmers.
134,Social Worker,Casework;Community Outreach;Coordination;Counseling;Documentation;Clinical Diagnosis,NGO;Community;Service;Leadership;Sales,ENFJ;ESFJ;ISTJ;ESTJ,Support individuals and communities.
135,NGO Program Manager,Budgeting;Coordination;Grant Writing;Monitoring & Evaluation;Program Design;Hospitality,NGO;Projects;Public;Operations;Field,ESFJ;ESTJ,Manage social programs and partnerships.
136,Sports Coach,Assessment;Communication;Fitness;Motivation;Planning;Budgeting;Finance,Sports;Training;Mentorship;Research,ESFJ;INTP;ENFP,Train athletes and plan sessions.
137,Pilot,Checklists;Communication;Instrumentation;Navigation;Safety;Pharmacology,Aviation;Safety;Precision;Creativity;Field,ESFJ;ENTP,Operate aircraft safely and efficiently.
138,Merchant Navy Officer,Compliance;Engine Ops;Navigation;Teamwork;Watchkeeping;CAD;Drafting;Statistics,Maritime;Operations;Safety;Strategy,ESTJ;ISTJ;INTP,Operate ships and manage onboard operations.
139,Investment Analyst,Finance;Financial Modeling;Presentation;Research;Valuation;CAD;Digital Marketing;First Aid,Markets;Analysis;Strategy;Sales,ISTJ;ENFP;INTJ;ESFJ,"Analyze companies, build models, and recommend investments."
140,Accountant,Accounting;ERP;Reconciliation;Reporting;Taxation;Econometrics,Compliance;Reporting;Detail;Leadership,ESTJ;ENTP;INTP,"Prepare financial statements, manage taxes and compliance."
141,Financial Planner,Advisory;Excel;Risk Management;Sales;Wealth Management;Customer Service,Client;Planning;Finance;Strategy,ENFJ;INTP;ENTP;ISTJ,"Advise clients on investments, insurance, and goals."
142,Risk Analyst,Compliance;Reporting;Risk Management;SQL;Statistics;Communication,Risk;Governance;Data;Sales;Operations,ISTJ;INTJ,Quantify and manage financial/operational risks.
143,Economist,Policy;R;Research;Stata;Statistics;Budgeting,Research;Policy;Data;Leadership,INTJ;ESTJ;INTP,Study economic trends and evaluate policies.
144,Doctor (General Practitioner),Clinical Diagnosis;Communication;Documentation;Patient Care;Pharmacology;CRM;Foreign Language,Healthcare;People;Service;Leadership,ENFJ;INFJ;ESTJ,Diagnose and treat common illnesses; coordinate care.
145,Surgeon,Anatomy;Asepsis;Decision Making;Documentation;Teamwork;Hospitality,Healthcare;Precision;Emergency;Leadership,INTJ;ISTJ,Perform surgical procedures and manage perioperative care.
146,Nurse,Documentation;Empathy;Medication;Patient Care;Teamwork;Negotiation;Photography,Care;Healthcare;Service;Field;Compliance,ENFJ;ESTJ;ISTJ,Provide nursing care and coordinate with healthcare teams.
147,Pharmacist,Counseling;Dispensing;Inventory;Pharmacology;Regulations;Digital Marketing;Risk Management,Healthcare;Compliance;Service;Sales;Field,ENTP;ISTJ;ESTJ,Dispense medications and advise on safe usage.
